Season,Club,Gross Spend (€m),League Points,Trophies won
2014/15,Arsenal,118.98,75,2
2014/15,Chelsea,137.70,87,2
2014/15,Liverpool,151.43,62,0
2014/15,Manchester City,102.80,79,0
2014/15,Manchester United,195.35,70,0
2014/15,Tottenham,48.48,64,0
2014/15,Everton,40.16,47,0
2014/15,Leicester,22.86,41,0
2014/15,Newcastle,45.02,39,0
2014/15,Aston Villa,13.45,38,0
2015/16,Arsenal,26.50,71,0
2015/16,Chelsea,96.50,50,0
2015/16,Liverpool,126.50,60,0
2015/16,Manchester City,208.47,66,1
2015/16,Manchester United,156.00,66,1
2015/16,Tottenham,71.00,70,0
2015/16,Everton,48.20,47,0
2015/16,Leicester,49.90,81,1
2015/16,Newcastle,107.91,37,0
2016/17,Arsenal,113.00,75,1
2016/17,Chelsea,132.80,93,1
2016/17,Liverpool,79.90,76,0
2016/17,Manchester City,216.25,78,0
2016/17,Manchester United,185.00,69,2
2016/17,Tottenham,83.50,86,0
2016/17,Everton,86.00,61,0
2016/17,Leicester,92.10,44,0
2017/18,Arsenal,152.85,63,0
2017/18,Chelsea,260.50,70,1
2017/18,Liverpool,173.65,75,0
2017/18,Manchester City,317.50,100,2
2017/18,Manchester United,198.40,81,0
2017/18,Tottenham,121.00,77,0
2017/18,Everton,203.20,49,0
2017/18,Leicester,83.85,47,0
2017/18,Newcastle,46.50,44,0
2018/19,Arsenal,80.15,70,0
2018/19,Chelsea,208.80,72,1
2018/19,Liverpool,192.20,97,1
2018/19,Manchester City,78.59,98,3
2018/19,Manchester United,82.70,66,0
2018/19,Tottenham,0.00,71,0
2018/19,Everton,99.80,54,0
2018/19,Leicester,114.60,52,0
2018/19,Newcastle,59.75,45,0
2019/20,Arsenal,160.80,56,1
2019/20,Chelsea,45.00,66,0
2019/20,Liverpool,10.40,99,2
2019/20,Manchester City,169.82,81,1
2019/20,Manchester United,236.80,66,0
2019/20,Tottenham,150.50,59,0
2019/20,Everton,121.00,49,0
2019/20,Leicester,104.30,62,0
2019/20,Newcastle,72.40,44,0
2019/20,Aston Villa,159.50,35,0
2020/21,Arsenal,86.00,61,0
2020/21,Chelsea,267.20,67,1
2020/21,Liverpool,84.80,69,0
2020/21,Manchester City,173.40,86,2
2020/21,Manchester United,83.95,74,0
2020/21,Tottenham,110.50,62,0
2020/21,Everton,74.37,59,0
2020/21,Leicester,59.40,66,0
2020/21,Newcastle,38.75,45,0
2020/21,Aston Villa,101.35,55,0
2021/22,Arsenal,167.40,69,0
2021/22,Chelsea,118.00,74,1
2021/22,Liverpool,89.00,92,2
2021/22,Manchester City,138.90,93,1
2021/22,Manchester United,142.00,58,0
2021/22,Tottenham,95.90,71,0
2021/22,Everton,39.50,39,0
2021/22,Leicester,67.60,52,1
2021/22,Newcastle,130.50,49,0
2021/22,Aston Villa,129.80,45,0
2022/23,Arsenal,186.40,84,0
2022/23,Chelsea,630.25,44,0
2022/23,Liverpool,140.90,67,1
2022/23,Manchester City,155.00,89,3
2022/23,Manchester United,243.15,75,1
2022/23,Tottenham,179.90,60,0
2022/23,Everton,83.07,36,0
2022/23,Leicester,49.00,34,0
2022/23,Newcastle,189.10,71,0
2022/23,Aston Villa,113.00,61,0
2023/24,Arsenal,235.10,89,0
2023/24,Chelsea,464.10,63,0
2023/24,Liverpool,172.00,82,1
2023/24,Manchester City,259.60,91,2
2023/24,Manchester United,210.70,60,1
2023/24,Tottenham,272.10,66,0
2023/24,Everton,40.50,40,0
2023/24,Newcastle,150.00,60,0
2023/24,Aston Villa,111.50,68,0
2024/25,Arsenal,108.90,74,0
2024/25,Chelsea,281.90,69,1
2024/25,Liverpool,42.00,84,1
2024/25,Manchester City,243.00,71,0
2024/25,Manchester United,246.30,42,0
2024/25,Tottenham,185.35,38,1
2024/25,Everton,50.20,48,0
2024/25,Leicester,91.05,25,0
2024/25,Newcastle,68.20,66,1
2024/25,Aston Villa,214.20,66,0
